timestamp,mq2,mq135,temperature,humidity,aqi,aqi_future_30m,hour
2026-04-08T23:47:44.024803,493,694,12.7,66.8,75.0,100.5,0.0
2026-04-08T23:47:44.024803,505,882,14.2,71.2,89.3,90.3,0.9964982491245623
2026-04-08T23:47:44.024803,651,948,15.1,70.3,101.3,76.7,1.9929964982491246
2026-04-08T23:47:44.024803,2312,2897,17.0,71.6,325.2,67.2,2.989494747373687
2026-04-08T23:47:44.024803,779,1125,15.9,71.3,120.6,69.6,3.9859929964982492
2026-04-08T23:47:44.024803,883,1523,20.8,73.4,154.7,74.0,4.982491245622811
2026-04-08T23:47:44.024803,1124,1622,17.9,63.5,173.8,61.0,5.978989494747374
2026-04-08T23:47:44.024803,1142,1619,23.1,52.4,174.4,71.2,6.975487743871936
2026-04-08T23:47:44.024803,1107,1857,25.2,60.8,190.2,85.7,7.9719859929964985
2026-04-08T23:47:44.024803,1228,1912,28.6,45.8,200.1,193.0,8.968484242121061
2026-04-08T23:47:44.024803,1162,1588,28.9,44.9,173.1,120.3,9.964982491245623
2026-04-08T23:47:44.024803,1150,1631,27.6,43.2,175.7,135.0,10.961480740370185
2026-04-08T23:47:44.024803,1167,1536,28.5,38.8,169.6,146.0,11.957978989494748
2026-04-08T23:47:44.024803,933,1393,30.0,41.2,147.7,149.5,12.95447723861931
2026-04-08T23:47:44.024803,866,1462,28.9,37.4,149.4,179.5,13.950975487743872
2026-04-08T23:47:44.024803,863,1184,26.9,31.3,129.0,189.0,14.947473736868435
2026-04-08T23:47:44.024803,724,1021,25.4,48.4,110.2,183.8,15.943971985992997
2026-04-08T23:47:44.024803,727,667,25.2,41.6,84.5,193.3,16.94047023511756
2026-04-08T23:47:44.024803,1557,1388,21.4,44.0,177.8,191.6,17.936968484242122
2026-04-08T23:47:44.024803,628,911,19.9,54.3,97.5,177.1,18.933466733366682
2026-04-08T23:47:44.024803,574,630,21.4,55.9,74.3,179.4,19.929964982491246
2026-04-08T23:47:44.024803,397,633,14.3,61.8,65.8,169.7,20.92646323161581
2026-04-08T23:47:44.024803,405,780,12.4,77.1,77.0,129.8,21.92296148074037
2026-04-08T23:47:44.024803,297,517,15.5,67.5,52.4,119.6,22.919459729864933
2026-04-08T23:47:44.024803,405,404,13.0,70.5,49.4,119.2,23.915957978989496
2026-04-08T23:47:44.024803,519,910,13.7,74.8,92.1,100.4,0.9124562281140562
2026-04-08T23:47:44.024803,499,1247,13.8,80.4,115.8,82.3,1.9089544772386198
2026-04-08T23:47:44.024803,716,1333,15.8,66.9,132.7,86.2,2.9054527263631833
2026-04-08T23:47:44.024803,741,1365,20.2,62.7,136.3,66.3,3.9019509754877433
2026-04-08T23:47:44.024803,869,1427,20.9,66.6,147.0,74.4,4.898449224612307
2026-04-08T23:47:44.024803,942,1709,23.1,57.3,171.2,60.3,5.89494747373687
2026-04-08T23:47:44.024803,1222,1594,21.7,58.6,176.5,147.1,6.89144572286143
2026-04-08T23:47:44.024803,1139,1831,24.1,58.1,189.9,93.7,7.887943971985994
2026-04-08T23:47:44.024803,1098,1860,23.2,46.0,189.9,89.6,8.884442221110554
2026-04-08T23:47:44.024803,1265,1911,27.6,38.4,201.8,102.9,9.880940470235117
2026-04-08T23:47:44.024803,1091,2060,31.1,41.7,204.3,128.9,10.87743871935968
2026-04-08T23:47:44.024803,1169,1685,30.8,42.3,180.6,137.2,11.873936968484244
2026-04-08T23:47:44.024803,935,1456,29.5,27.4,152.4,153.7,12.870435217608808
2026-04-08T23:47:44.024803,905,1372,29.0,39.1,144.8,178.2,13.866933466733364
2026-04-08T23:47:44.024803,933,1009,26.8,39.6,119.5,168.0,14.863431715857928
2026-04-08T23:47:44.024803,873,982,26.6,42.1,114.7,362.5,15.859929964982491
2026-04-08T23:47:44.024803,724,870,25.5,46.4,99.2,189.7,16.856428214107055
2026-04-08T23:47:44.024803,604,729,19.9,55.4,83.0,184.0,17.85292646323162
2026-04-08T23:47:44.024803,504,710,20.7,47.3,76.7,191.2,18.849424712356182
2026-04-08T23:47:44.024803,343,528,19.7,54.7,55.5,166.9,19.84592296148074
